Date,Global_active_power,Global_intensity,Global_reactive_power,Sub_metering_1,Sub_metering_2,Sub_metering_3,Voltage
1/7/2007,1238.46,5223.2,125.424,0,338,6315,347901.01
2/7/2007,1532.926,6417.2,156.932,1856,407,9178,347379.42
3/7/2007,2023.174,8524.2,162.18,1051,589,13853,344639.15
4/7/2007,1847.746,7804.2,111.49,1103,1448,8911,348231.37
5/7/2007,1825.574,7663.4,163.278,2186,261,9271,347815.51
6/7/2007,2138.814,8877.4,222.19,3984,417,13178,352076.54
7/7/2007,1414.546,5967,134.678,0,2828,6256,347280.27
8/7/2007,1900.498,8035.4,128.478,2530,3615,7568,347332.46
9/7/2007,1690.022,7044.2,109.186,1100,254,11554,348038.4
10/7/2007,2351.556,9711.4,144.794,1838,5292,18710,349760.29
11/7/2007,1290.144,5480.2,126.718,1350,3859,5323,346893.07
12/7/2007,1675.514,7116,128.474,3263,3590,5464,346755.78
13/7/2007,1445.52,6006.8,138.684,1082,311,10466,349570.52
14/7/2007,2383.01,9943.2,265.362,2848,5534,17973,348475.59
15/7/2007,551.022,2366.4,151.64,0,558,1988,345672.7
16/7/2007,2232.986,9434.6,213.514,2554,5942,13007,346209.59
17/7/2007,1599.924,6819,200.072,1006,5648,6209,347230.54
18/7/2007,1512.704,6324.8,171.14,1097,646,13033,348098.58
19/7/2007,1634.738,7155.6,220.67,3612,2414,8958,339420.54
20/7/2007,1476.894,6324.2,236.468,823,4089,8370,346138.65
21/7/2007,1246.398,5338.6,171.566,1419,553,7127,346515.81
22/7/2007,1554.266,6451.2,154.176,2124,1477,10528,349863.08
23/7/2007,927.272,4057.2,208.26,957,857,5216,346172.55
24/7/2007,1875.1,8070.4,281.936,2809,7358,10531,343999.44
25/7/2007,493.618,2034.2,136.458,0,1415,1489,347689.58
26/7/2007,1674.356,7286.4,253.716,4922,2516,9096,347332.21
27/7/2007,794.382,3529.2,206.694,0,633,4427,346830.92
28/7/2007,1254.634,5424,166.908,1671,3164,7056,346017.15
29/7/2007,496.746,2250,196.526,0,594,3881,349268.42
30/7/2007,1382.114,6106.2,287.722,2273,2826,7894,346312.5
31/7/2007,1153.012,4966.2,130.94,93,476,11101,338711.86
1/8/2007,282.584,1341.4,183.836,0,451,1789,346854.98
2/8/2007,806.426,3516.4,216.942,1215,3702,2600,348355.71
3/8/2007,534.294,2353.8,165.538,0,508,4097,347027.27
4/8/2007,1146.382,4988.8,165.958,1175,2523,3853,344606.16
5/8/2007,1631.436,6941,186.192,930,5433,11807,345779.35
6/8/2007,1571.616,6751.6,271.258,4146,612,10188,345958.82
7/8/2007,1076.32,4667.2,189.798,1301,798,6710,347263.59
8/8/2007,3011.038,12919.2,227.432,1777,4215,12991,343897.94
9/8/2007,2024.932,8661,120.11,5918,339,9738,346030.57
10/8/2007,1781.792,7362.8,120.792,2279,332,10318,352226.81
11/8/2007,2514.208,10124.6,198.166,4174,2368,23591,353702.86
12/8/2007,2061.252,8753.4,150.05,2930,7494,7126,344305.49
13/8/2007,1609.056,6811.4,164.286,1177,442,9939,344470.65
14/8/2007,1711.224,7206.6,175.09,2001,3131,10013,345253.63
15/8/2007,2135.122,9016,215.944,2583,2441,14239,346900.63
16/8/2007,2047.994,8554.6,141.59,1055,295,16345,345522.28
17/8/2007,1621.738,6848,127.894,2092,325,9929,347071.42
18/8/2007,2560.456,10733,245.848,4169,2411,18868,345920.26
19/8/2007,2038.392,8686.6,203.694,5344,549,8758,344562.91
20/8/2007,1974.808,8291.2,179.55,980,3849,12941,348459.73
21/8/2007,2002.12,8469.4,164.014,3742,2497,5415,347936.83
22/8/2007,1794.862,7376,151.982,1090,2280,10742,354454.29
23/8/2007,2498.672,10533.8,202.506,3295,3793,11579,346140.56
24/8/2007,1604.622,6744.6,113.646,1300,291,9299,346701.34
25/8/2007,2335.33,9688.6,118.768,2280,3256,18543,348403.01
26/8/2007,1688.35,6958.2,124.672,1225,320,13191,350122.24
27/8/2007,1793.364,7585.2,157.522,3485,480,8607,346719.3
28/8/2007,2210.22,9282.6,159.748,980,3881,14476,346503.41
29/8/2007,2149.028,8908,155.25,2196,280,18036,348737.48
30/8/2007,1566.714,6616.6,200.632,3464,918,7101,348460.29
31/8/2007,554.268,2378,155.61,0,578,2008,346050.93
1/9/2007,1589.582,6630.2,154.958,0,425,11197,348932.24
2/9/2007,1501.538,6386.4,188.58,888,2341,9478,347748.95
3/9/2007,1660.364,6979.6,179.198,1132,5871,9194,347580.88
4/9/2007,1467.782,6586.8,298.552,3176,2417,5517,339393.7
5/9/2007,1584.262,6787.2,277.374,2467,3436,9716,346620.26
6/9/2007,1606.984,6920.2,151.91,0,4065,11499,345685.71
7/9/2007,1722.146,7174,159.884,1045,334,16764,348576.81
8/9/2007,1259.084,5448,231.696,3322,2147,7054,345380.81
9/9/2007,1384.92,6059.2,344.28,1862,1011,10681,345620.87
10/9/2007,489.6,2016,135.36,0,1440,1440,347616
11/9/2007,1217.984,5203.8,178.64,958,473,10336,347928.24
12/9/2007,1288.17,5607.4,258.45,3775,1968,6604,347460.31
13/9/2007,1137.926,4941.6,209.668,2564,1995,6436,346311.63
14/9/2007,911.43,4054,266.574,2303,618,6155,348775.76
15/9/2007,1409.472,6135.2,248.48,1064,598,7575,346092.36
16/9/2007,941.19,4110,132.01,951,685,6256,341390
17/9/2007,270.258,1274.4,177.966,0,441,1641,347242.87
18/9/2007,748.676,3287.8,241.328,429,850,4647,347298.59
19/9/2007,554.27,2424.2,160.51,0,512,4471,347278.86
20/9/2007,1135.47,4960.4,183.126,901,676,5804,344594.73
21/9/2007,1576.326,6818.4,193.746,4673,445,6538,345440.14
22/9/2007,1574.858,6706.8,239.666,2843,603,9091,347726.82
23/9/2007,1430.678,6101.8,197.004,1874,2705,10270,346955.5
24/9/2007,2148.678,9016.6,174.86,1099,2239,15163,347386.91
25/9/2007,2686.912,11363.4,113.144,782,6883,14512,346621.66
26/9/2007,1564.068,6509.6,115.546,2731,390,9561,349950.64
27/9/2007,2196.76,9122.4,218.29,1957,2952,13546,350965.1
28/9/2007,1266.33,5359.6,118.182,1061,339,7654,344581.5
29/9/2007,2156.896,9112.6,168.462,1998,7042,9984,344889.78
30/9/2007,1489.976,6227,139.632,1629,463,9641,347215.87
1/10/2007,1596.324,6751.2,201.54,712,827,10786,346744.72
2/10/2007,1491.988,6330.8,133.066,1606,571,7503,345578.39
3/10/2007,3031.628,12907,165.16,3952,3799,15635,343633.13
4/10/2007,1967.308,8321,211.148,991,5278,9446,346068.53
5/10/2007,1747.382,7381,126.716,1075,4222,8918,344950.91
6/10/2007,2736.876,11491.2,157.626,1706,3687,14313,347444.13
7/10/2007,1795.45,7475,113.744,1178,252,9668,349976.45
8/10/2007,1940.116,7941,162.344,1111,392,14084,354302.18
9/10/2007,1985.346,8381.2,165.964,0,2363,14028,346563.68
10/10/2007,2005.208,8325,107.952,1109,1723,13417,348322.47
11/10/2007,1586.032,6482,114.022,2465,226,5234,349695.27
12/10/2007,2097.132,8701,131.27,3468,332,16065,350563.36
13/10/2007,1884.814,7953.4,159.326,0,3263,11036,346003.91
14/10/2007,1576.3,6697,154.412,2550,502,5910,345885.11
15/10/2007,1942.062,8202.6,177.752,3478,5152,8353,348150.4
16/10/2007,1791.85,7456.8,164.312,778,436,15053,348905.88
17/10/2007,726.164,3148.6,171.544,0,1026,2893,345940.83
18/10/2007,1670.406,7069.8,178.782,1174,3998,9874,347383.79
19/10/2007,1216.062,5199.8,190.886,1880,463,5278,347501.82
20/10/2007,1872.178,7812.6,167.336,2526,658,15667,346827.15
21/10/2007,904.392,3936,111.182,0,408,5318,339281.27
22/10/2007,1162.768,5071.8,237.724,868,570,6820,346104.57
23/10/2007,1422.226,6023.2,140.546,1382,494,12195,346978.37
24/10/2007,1944.772,8221.4,232.944,3347,336,13670,348627.91
25/10/2007,989.604,4415.4,251.762,2269,4011,4547,346268.71
26/10/2007,2289.102,9754,281.006,6471,6802,11589,344813.37
27/10/2007,926.608,3969.6,196.598,916,803,6117,346908.21
28/10/2007,1223.966,5217,179.096,0,488,10144,346900.75
29/10/2007,1037.18,4651.4,294.77,862,632,5585,346413.6
30/10/2007,1155.86,4947.4,190.936,968,552,8585,345285.28
31/10/2007,718.074,3121.2,189.692,878,932,5820,348374.73
1/11/2007,1635.816,6900.4,192.324,1108,2179,8203,346128.35
2/11/2007,1191.86,5100.6,159.764,338,508,9787,345590.51
3/11/2007,273.654,1290.2,178.178,0,439,1691,347267.76
4/11/2007,1514.062,6632.4,384.762,3437,1852,8922,346890.74
5/11/2007,1055.986,4552.4,206.77,0,4361,5282,348028.74
6/11/2007,1095.312,4720.6,184.466,0,1449,6464,345602.84
7/11/2007,1697.708,7303.4,136.118,960,364,10322,345968.51
8/11/2007,1456.806,6170.4,184.276,1769,560,8644,347029.03
9/11/2007,986.094,4252.6,219.558,0,898,6018,347467.36
10/11/2007,1686.404,7165.4,185.428,2063,644,6583,348400.45
11/11/2007,2135.852,9100.2,128.93,1162,3430,9391,346207.89
12/11/2007,2766.554,11578.4,179.92,5811,3158,15220,349299.32
13/11/2007,2150.112,8956.4,242.518,2605,2415,13652,349985.14
14/11/2007,1964.442,8385.4,185.414,0,7871,9876,343962.17
15/11/2007,1583.68,6712.2,136.84,951,429,8438,344538.5
16/11/2007,1516.86,6357.8,145.384,0,482,11136,345954.24
17/11/2007,1000.014,4228,167.938,0,645,7656,348361.19
18/11/2007,2309.754,9674,123.978,1991,4660,13564,347016.26
19/11/2007,2365.432,9963.4,163.13,4791,1829,8945,346311.56
20/11/2007,1514.468,6340.6,157.194,2021,545,9354,348314.22
21/11/2007,1509.748,6341.2,133.598,0,478,7949,347324.56
22/11/2007,1209.176,5180.8,34.922,0,546,4926,93552.53
23/11/2007,2762.218,11508.8,126.938,3410,2281,12929,349466.38
24/11/2007,1797.09,7477.4,114.598,0,253,11334,351187.06
25/11/2007,1394.874,5750.4,154.43,1143,2943,8104,355990.85
26/11/2007,1702.528,7267,151.686,1148,859,8689,346782.16
27/11/2007,2346.948,9927.2,138.994,1076,2360,11599,347166.08
28/11/2007,1318.994,5512.6,111.806,0,261,7037,348685.93
29/11/2007,1797.756,7413.6,119.606,1945,317,12820,351005.42
30/11/2007,1702.054,7189,130.208,1106,4604,5370,344919.07
1/12/2007,1801.96,7629.6,173.652,2394,566,11286,347464.32
2/12/2007,1338.042,5551.2,119.348,0,306,9291,349069.72
3/12/2007,1542.65,6423.8,167.736,0,457,10083,347817.71
4/12/2007,952.39,4136.4,186.074,952,1305,4656,346546.28
5/12/2007,1489.064,6215.2,125.904,838,403,11322,348111.92
6/12/2007,1564.524,6658.8,179.016,2896,397,9809,346285.5
7/12/2007,1562.062,6553,170.38,2837,592,12623,348468.24
8/12/2007,1692.944,7303.4,135.894,2213,5756,9077,338775.57
9/12/2007,1651.126,7091.4,235.398,2228,2569,8957,345046.55
10/12/2007,2007.378,8475,186.502,1705,4820,12265,345583.81
11/12/2007,2100.426,8862.4,164.382,3361,3922,11888,347002.06
12/12/2007,2017.762,8604,307.558,3289,4498,11108,344882.44
13/12/2007,1303.044,5622.8,204.382,1980,464,10012,346224.19
14/12/2007,1508.792,6458.2,212.188,2983,1221,13691,346796.9
15/12/2007,1768.092,7464.6,183.078,1875,4999,10336,346681.99
16/12/2007,853.674,3831.2,233.96,830,695,4176,340570.42
17/12/2007,1077.062,4661,206.462,1537,2799,4978,346454.47
18/12/2007,599.554,2701.6,259.326,0,1724,3902,348648.45
19/12/2007,820.056,3581.4,196.728,0,568,3854,347262.26
20/12/2007,958.496,4095.2,131.532,962,0,7476,345222.23
21/12/2007,274.814,1295.2,181.678,0,442,1688,348617.3
22/12/2007,1217.712,5464,409.052,1604,1094,5691,346350.02
23/12/2007,1129.73,4921.2,185.016,1530,463,7328,347150.82
24/12/2007,1652.224,7151.4,192.352,3118,3064,9310,344967.07
25/12/2007,1221.862,5211.8,156.06,0,368,8249,346966.2
26/12/2007,1743.162,7415.6,197.746,1035,3470,13384,345933.06
27/12/2007,1339.738,5665,171.35,1038,739,10310,346192.95
28/12/2007,2847.688,11928.8,200.752,3500,5737,16064,347047.56
29/12/2007,1572.282,6688.8,116.718,1007,350,8657,347944.31
30/12/2007,3317.82,13793.6,164.544,2477,3154,15322,347949.42
31/12/2007,1906.556,7951,188.986,1992,298,15044,349261.93
1/1/2008,1576.93,6677.2,136.4,1065,453,8968,344436.67
2/1/2008,1866.886,7885.2,153.522,2036,3187,9639,345668.58
3/1/2008,2742.08,11585.6,261.152,5490,4364,18326,344002.41
4/1/2008,1047.382,4412.2,185.494,995,666,4681,348877.19
5/1/2008,2610.094,10942.4,168.03,2588,2199,14990,346468.93
6/1/2008,1523.636,6353.4,118.874,0,378,10590,347234.3
7/1/2008,1708.294,7075.4,167.628,0,453,11616,349431.26
8/1/2008,1582.032,6669,141.916,1153,491,8915,347691.23
9/1/2008,3390.46,14398.6,226.006,2033,4187,13341,345725.32
10/1/2008,1798.422,7473.2,105.194,1636,243,10567,349381.05
11/1/2008,2098.786,8755.6,136.216,4251,284,10813,350371.46
12/1/2008,1717.182,6971.4,148.97,0,308,14395,355527.55
13/1/2008,2076.912,8826,238.968,1765,2226,7157,344615.09
14/1/2008,1933.368,8142.4,120.076,3182,2257,6049,349156.56
15/1/2008,793.506,3308,115.57,0,266,3925,348862.05
16/1/2008,2054.56,8555.4,119.56,2294,6636,10101,348979.42
17/1/2008,2028.09,8562.4,127.068,2208,359,12275,343043.5
18/1/2008,1706.918,7210,175.274,236,6651,9346,346759.53
19/1/2008,1931.91,8135,234.992,1110,3952,12320,348417.25
20/1/2008,2009.13,8392,185.748,1136,5851,13105,347963.52
21/1/2008,1223.734,5314.8,218.354,1532,389,6199,345881.76
22/1/2008,1395.862,5910.2,145.878,1719,417,8638,347621.18
23/1/2008,2042.81,8592.4,171.198,0,5224,7655,347511.93
24/1/2008,1557.712,6549.2,149.862,553,3124,12571,347479.45
25/1/2008,1231.816,5358.2,131.188,1014,2073,7687,339650.58
26/1/2008,1657.454,7130.2,275.896,2158,935,12472,344840.92
27/1/2008,1543.764,6631.8,226.46,2555,1926,7168,346033.05
28/1/2008,1628.182,6801.4,147.376,1014,367,15344,347558.79
29/1/2008,1947.09,8307.8,239.814,4124,5038,8734,345915.62
30/1/2008,1145.084,4945.8,175.464,1080,432,10094,346110.38
31/1/2008,988.016,4260.8,192.86,975,611,7193,347465.53
1/2/2008,1028.018,4393.4,168.268,0,488,8510,346215.01
2/2/2008,719.632,3277.8,176.088,848,694,3335,338027.41
